epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8931,1.69878,4.00102,1.29852,0.00311,0.93333,0.0186,0.00825,0.88969,3.57182,0.93301,0.00016,0.00016,0.00016
2,31.2474,1.00175,2.74784,0.98372,0.00333,1,0.1525,0.13341,0.75364,3.43004,0.85136,0.00033439,0.00033439,0.00033439
3,33.987,0.86777,1.59536,0.89788,0.00334,1,0.15757,0.10895,0.7919,3.53383,0.90293,0.00050284,0.00050284,0.00050284
4,36.368,0.81108,1.55731,0.90763,0.00333,1,0.0159,0.01217,0.73382,3.4445,0.85439,0.00066535,0.00066535,0.00066535
5,39.3338,0.83329,1.41059,0.95242,0.00333,1,0.01247,0.0093,0.75716,3.4732,0.87498,0.00082192,0.00082192,0.00082192
6,43.0377,0.87755,1.41409,0.92766,0.00333,1,0.00961,0.00742,0.73359,3.36686,0.90033,0.00097255,0.00097255,0.00097255
7,45.6139,0.79682,1.30061,0.89181,0.00333,1,0.01085,0.00809,0.75339,3.24971,0.89266,0.00111724,0.00111724,0.00111724
8,48.2638,0.74776,1.17759,0.90105,0.00333,1,0.37142,0.31471,0.69577,2.97749,0.87224,0.00125599,0.00125599,0.00125599
9,50.9317,0.75511,1.06745,0.87536,1,0.25435,0.53243,0.42343,0.8264,2.83223,0.94427,0.0013888,0.0013888,0.0013888
10,53.8273,0.79268,1.14241,0.91943,0.85068,0.33333,0.48151,0.36257,0.78774,2.68971,0.94664,0.00151567,0.00151567,0.00151567
11,57.1141,0.75789,1.01282,0.89049,1,0.42526,0.995,0.82937,0.70831,2.2253,0.90121,0.0016366,0.0016366,0.0016366
12,59.6426,0.73463,0.96986,0.89501,0.93036,0.89171,0.9575,0.79419,0.70098,1.93644,0.90687,0.001637,0.001637,0.001637
13,62.0326,0.74697,0.97235,0.90341,0.96493,1,0.995,0.84806,0.74503,1.69516,0.9188,0.001604,0.001604,0.001604
14,64.5626,0.79238,0.98674,0.91773,0.97959,1,0.995,0.84734,0.68141,1.40738,0.90296,0.001571,0.001571,0.001571
15,67.6548,0.71726,0.88303,0.90764,0.99272,1,0.995,0.8187,0.68943,0.874,0.91862,0.001538,0.001538,0.001538
16,70.9837,0.75859,0.87907,0.93448,0.93669,0.9871,0.99125,0.85107,0.65304,0.94276,0.90723,0.001505,0.001505,0.001505
17,73.4236,0.71853,0.83831,0.90061,0.99578,1,0.995,0.82726,0.6823,0.65386,0.90615,0.001472,0.001472,0.001472
18,75.9621,0.76639,0.87209,0.90816,0.99603,1,0.995,0.79463,0.6989,0.67121,0.8989,0.001439,0.001439,0.001439
19,78.4243,0.69752,0.82686,0.87733,0.99445,1,0.995,0.82918,0.63789,0.63139,0.9053,0.001406,0.001406,0.001406
20,81.8333,0.66317,0.73779,0.88429,0.99622,1,0.995,0.83477,0.65587,0.54358,0.91284,0.001373,0.001373,0.001373
21,84.5629,0.69934,0.74263,0.87556,0.99611,1,0.995,0.86802,0.62607,0.56022,0.90444,0.00134,0.00134,0.00134
22,87.007,0.7093,0.74369,0.89705,0.99601,1,0.995,0.85214,0.62342,0.53362,0.89197,0.001307,0.001307,0.001307
23,89.54,0.63036,0.72237,0.87549,0.99638,1,0.995,0.86024,0.62404,0.51997,0.89246,0.001274,0.001274,0.001274
24,92.1289,0.65819,0.70105,0.88658,0.99629,1,0.995,0.87037,0.64513,0.5308,0.9044,0.001241,0.001241,0.001241
25,95.6865,0.64474,0.69153,0.88485,0.99596,1,0.995,0.86319,0.62719,0.53251,0.87992,0.001208,0.001208,0.001208
26,98.2673,0.64387,0.68449,0.87675,0.99657,1,0.995,0.8349,0.66143,0.56337,0.88396,0.001175,0.001175,0.001175
27,100.7,0.64982,0.67848,0.87432,0.99655,1,0.995,0.82868,0.69676,0.50468,0.91087,0.001142,0.001142,0.001142
28,103.061,0.64102,0.64548,0.86237,0.99652,1,0.995,0.85597,0.60743,0.48587,0.89069,0.001109,0.001109,0.001109
29,105.752,0.62807,0.62308,0.85576,0.99649,1,0.995,0.85307,0.60753,0.45328,0.88673,0.001076,0.001076,0.001076
30,109.335,0.63018,0.59976,0.85666,0.99658,1,0.995,0.87773,0.60021,0.47527,0.86917,0.001043,0.001043,0.001043
31,111.831,0.63886,0.62229,0.89107,0.99639,1,0.995,0.85164,0.63165,0.43987,0.87255,0.00101,0.00101,0.00101
32,114.416,0.62696,0.59913,0.85521,0.99635,1,0.995,0.87038,0.61982,0.46661,0.86762,0.000977,0.000977,0.000977
33,116.829,0.61456,0.59034,0.85839,0.99652,1,0.995,0.8541,0.64219,0.45102,0.87548,0.000944,0.000944,0.000944
34,119.406,0.56733,0.54114,0.84689,0.99661,1,0.995,0.86917,0.59494,0.41526,0.86953,0.000911,0.000911,0.000911
35,122.925,0.58813,0.54351,0.86316,0.99663,1,0.995,0.86821,0.5665,0.38488,0.85841,0.000878,0.000878,0.000878
36,125.298,0.61481,0.57238,0.86702,0.9964,1,0.995,0.87874,0.54069,0.37395,0.84622,0.000845,0.000845,0.000845
37,127.781,0.58241,0.54285,0.85314,0.99627,1,0.995,0.86824,0.56976,0.39525,0.86918,0.000812,0.000812,0.000812
38,130.275,0.59696,0.55812,0.86123,0.99639,1,0.995,0.88626,0.52945,0.39374,0.85952,0.000779,0.000779,0.000779
39,132.878,0.564,0.52538,0.8406,0.99639,1,0.995,0.86897,0.59411,0.37608,0.86475,0.000746,0.000746,0.000746
40,136.537,0.58402,0.52132,0.86636,0.99633,1,0.995,0.87444,0.55328,0.35296,0.86397,0.000713,0.000713,0.000713
41,138.905,0.56442,0.51095,0.85848,0.99648,1,0.995,0.89516,0.55349,0.35611,0.86461,0.00068,0.00068,0.00068
42,141.476,0.56142,0.50506,0.83508,0.99666,1,0.995,0.86754,0.58151,0.37162,0.86559,0.000647,0.000647,0.000647
43,144.023,0.57147,0.50501,0.84708,0.99675,1,0.995,0.87983,0.53476,0.37966,0.84823,0.000614,0.000614,0.000614
44,146.934,0.57965,0.50945,0.84816,0.99664,1,0.995,0.86603,0.55469,0.3702,0.86022,0.000581,0.000581,0.000581
45,150.262,0.56868,0.49483,0.8421,0.99639,1,0.995,0.87647,0.55385,0.34488,0.86,0.000548,0.000548,0.000548
46,152.837,0.5662,0.47724,0.84239,0.99655,1,0.995,0.87817,0.53695,0.3611,0.85337,0.000515,0.000515,0.000515
47,155.255,0.53677,0.47175,0.84232,0.99661,1,0.995,0.8972,0.53879,0.33645,0.85623,0.000482,0.000482,0.000482
48,157.867,0.52397,0.47792,0.83337,0.99658,1,0.995,0.8981,0.53254,0.33021,0.85965,0.000449,0.000449,0.000449
49,161.326,0.54327,0.46157,0.84641,0.99664,1,0.995,0.89536,0.52984,0.33651,0.8555,0.000416,0.000416,0.000416
50,164.076,0.55582,0.46223,0.84736,0.99662,1,0.995,0.88054,0.52852,0.3121,0.85815,0.000383,0.000383,0.000383
51,168.694,0.52839,0.54569,0.83176,0.99651,1,0.995,0.89322,0.52686,0.32443,0.85933,0.00035,0.00035,0.00035
52,172.253,0.50216,0.5204,0.82946,0.99638,1,0.995,0.88835,0.52772,0.3671,0.85164,0.000317,0.000317,0.000317
53,175.944,0.47214,0.50987,0.83971,0.99637,1,0.995,0.88666,0.53854,0.34241,0.85461,0.000284,0.000284,0.000284
54,178.295,0.49203,0.51347,0.82674,0.99653,1,0.995,0.87807,0.54572,0.33445,0.85545,0.000251,0.000251,0.000251
55,180.83,0.48407,0.49483,0.8245,0.99656,1,0.995,0.8704,0.54367,0.33139,0.85583,0.000218,0.000218,0.000218
56,183.225,0.48034,0.47581,0.79185,0.99654,1,0.995,0.86952,0.53119,0.33464,0.85386,0.000185,0.000185,0.000185
57,185.723,0.4841,0.4795,0.81597,0.99652,1,0.995,0.87733,0.5347,0.31687,0.85197,0.000152,0.000152,0.000152
58,189.16,0.49926,0.49444,0.8325,0.99642,1,0.995,0.86067,0.54422,0.31067,0.85117,0.000119,0.000119,0.000119
59,191.642,0.49007,0.48952,0.84545,0.9964,1,0.995,0.85648,0.54474,0.30967,0.85044,8.6e-05,8.6e-05,8.6e-05
60,194.043,0.47586,0.46883,0.80201,0.99648,1,0.995,0.86137,0.54181,0.30848,0.84896,5.3e-05,5.3e-05,5.3e-05
